POSTE;DATE;RR;FFM
98803001;20170202;0,0;
98803001;20170203;0,0;
98803001;20170204;0,0;
98803001;20170205;0,0;
98803001;20170206;6,1;
98803001;20170207;18,3;
98803001;20170208;14,1;
98803001;20170209;37,3;
98803001;20170210;14,8;
98803001;20170211;0,2;
98803001;20170212;0,2;
98803001;20170213;0,2;
98803001;20170214;0,5;
98803001;20170215;14,0;
98803001;20170216;14,5;
98803001;20170217;21,0;
98803001;20170218;0,4;
98803001;20170219;5,0;
98803001;20170220;0,0;
98803001;20170221;0,0;
98803001;20170222;4,0;
98803001;20170223;0,0;
98803001;20170224;0,0;
98803001;20170225;0,0;
98803001;20170226;1,0;
98803001;20170227;0,2;
98803001;20170228;0,0;
98803001;20170301;0,0;
98803001;20170302;0,0;
98803001;20170303;1,0;
98803001;20170304;8,5;
98803001;20170305;0,4;
98803001;20170306;6,5;
98803001;20170307;1,2;
98803001;20170308;1,0;
98803001;20170309;1,5;
98803001;20170310;5,2;
98803001;20170311;1,4;
98803001;20170312;0,0;
98803001;20170313;0,0;
98803001;20170314;2,8;
98803001;20170315;9,1;
98803001;20170316;0,0;
98803001;20170317;68,3;
98803001;20170318;34,3;
98803001;20170319;0,0;
98803001;20170320;0,0;
98803001;20170321;0,0;
98803001;20170322;0,0;
98803001;20170323;0,2;
98803001;20170324;0,6;
98803001;20170325;0,0;
98803001;20170326;0,0;
98803001;20170327;0,0;
98803001;20170328;0,0;
98803001;20170329;0,0;
98803001;20170330;0,2;
98803001;20170331;0,0;
98803001;20170401;0,2;
98803001;20170402;0,8;
98803001;20170403;0,2;
98803001;20170404;0,0;
98803001;20170405;2,2;
98803001;20170406;0,0;
98803001;20170407;0,0;
98803001;20170408;1,0;
98803001;20170409;1,2;
98803001;20170410;120,0;
98803001;20170411;;
98803001;20170412;;
98803001;20170413;;
98803001;20170414;;
98803001;20170415;;
98803001;20170416;;
98803001;20170417;;
98803001;20170418;;
98803001;20170419;;
98803001;20170420;;
98803001;20170421;;
98803001;20170422;;
98803001;20170423;;
98803001;20170424;;
98803001;20170425;;
98803001;20170426;0,0;
98803001;20170427;0,0;
98803001;20170428;0,0;
98803001;20170429;3,2;
98803001;20170430;3,2;
98803001;20170501;0,0;
98803001;20170502;0,0;
98803001;20170503;0,0;
98803001;20170504;0,0;
98803001;20170505;0,0;
98803001;20170506;0,0;
98803001;20170507;0,0;
98803001;20170508;2,4;
98803001;20170509;9,2;
98803001;20170510;0,0;
98803001;20170511;11,1;
98803001;20170512;0,4;
98803001;20170513;0,0;
98803001;20170514;0,2;
98803001;20170515;0,0;
98803001;20170516;0,0;
98803001;20170517;0,0;
98803001;20170518;0,0;
98803001;20170519;1,4;
98803001;20170520;0,8;
98803001;20170521;11,1;
98803001;20170522;0,0;
98803001;20170523;0,0;
98803001;20170524;16,2;
98803001;20170525;0,8;
98803001;20170526;0,2;
98803001;20170527;0,2;
98803001;20170528;0,0;
98803001;20170529;0,0;
98803001;20170530;0,0;
98803001;20170531;0,0;
98803001;20170601;13,1;
98803001;20170602;0,0;
98803001;20170603;3,4;
98803001;20170604;0,4;
98803001;20170605;0,0;
98803001;20170606;0,4;
98803001;20170607;0,0;
98803001;20170608;4,8;
98803001;20170609;0,0;
98803001;20170610;1,6;
98803001;20170611;0,0;
98803001;20170612;0,0;
98803001;20170613;1,0;
98803001;20170614;0,0;
98803001;20170615;0,0;
98803001;20170616;0,0;
98803001;20170617;0,2;
98803001;20170618;0,0;
98803001;20170619;3,4;
98803001;20170620;0,8;
98803001;20170621;1,4;
98803001;20170622;1,6;
98803001;20170623;0,0;
98803001;20170624;0,0;
98803001;20170625;0,0;
98803001;20170626;0,8;
98803001;20170627;0,0;
98803001;20170628;0,0;
98803001;20170629;0,0;
98803001;20170630;0,0;
98803001;20170701;0,0;
98803001;20170702;3,8;
98803001;20170703;0,2;
98803001;20170704;0,0;
98803001;20170705;0,2;
98803001;20170706;0,0;
98803001;20170707;0,2;
98803001;20170708;0,2;
98803001;20170709;0,0;
98803001;20170710;0,2;
98803001;20170711;0,0;
98803001;20170712;1,4;
98803001;20170713;0,6;
98803001;20170714;0,2;
98803001;20170715;0,0;
98803001;20170716;0,0;
98803001;20170717;0,2;
98803001;20170718;0,2;
98803001;20170719;0,0;
98803001;20170720;1,0;
98803001;20170721;0,2;
98803001;20170722;0,0;
98803001;20170723;0,2;
98803001;20170724;2,2;
98803001;20170725;0,2;
98803001;20170726;0,0;
98803001;20170727;0,2;
98803001;20170728;0,0;
98803001;20170729;0,2;
98803001;20170730;0,2;
98803001;20170731;0,2;
98803001;20170801;0,0;
98803001;20170802;0,0;
98803001;20170803;0,0;
98803001;20170804;0,0;
98803001;20170805;0,0;
98803001;20170806;0,0;
98803001;20170807;0,2;
98803001;20170808;0,0;
98803001;20170809;0,2;
98803001;20170810;0,2;
98803001;20170811;0,2;
98803001;20170812;0,0;
98803001;20170813;0,0;
98803001;20170814;0,2;
98803001;20170815;0,2;
98803001;20170816;0,0;
98803001;20170817;0,2;
98803001;20170818;0,0;
98803001;20170819;0,2;
98803001;20170820;2,0;
98803001;20170821;0,0;
98803001;20170822;0,2;
98803001;20170823;0,2;
98803001;20170824;0,0;
98803001;20170825;0,2;
98803001;20170826;0,0;
98803001;20170827;0,0;
98803001;20170828;0,2;
98803001;20170829;2,0;
98803001;20170830;0,4;
98803001;20170831;0,2;
98803001;20170901;0,0;
98803001;20170902;0,8;
98803001;20170903;0,2;
98803001;20170904;0,0;
98803001;20170905;0,2;
98803001;20170906;0,2;
98803001;20170907;0,0;
98803001;20170908;0,0;
98803001;20170909;0,0;
98803001;20170910;0,2;
98803001;20170911;0,0;
98803001;20170912;0,0;
98803001;20170913;0,2;
98803001;20170914;0,0;
98803001;20170915;0,2;
98803001;20170916;0,0;
98803001;20170917;0,0;
98803001;20170918;0,0;
98803001;20170919;0,0;
98803001;20170920;0,0;
98803001;20170921;0,0;
98803001;20170922;0,0;
98803001;20170923;0,0;
98803001;20170924;0,2;
98803001;20170925;0,0;
98803001;20170926;0,2;
98803001;20170927;0,0;
98803001;20170928;0,2;
98803001;20170929;0,2;
98803001;20170930;0,2;
98803001;20171001;0,2;
98803001;20171002;0,0;
98803001;20171003;0,0;
98803001;20171004;0,0;
98803001;20171005;0,2;
98803001;20171006;0,0;
98803001;20171007;0,2;
98803001;20171008;0,0;
98803001;20171009;0,2;
98803001;20171010;0,0;
98803001;20171011;0,0;
98803001;20171012;0,0;
98803001;20171013;0,0;
98803001;20171014;0,0;
98803001;20171015;0,0;
98803001;20171016;0,0;
98803001;20171017;0,2;
98803001;20171018;0,0;
98803001;20171019;0,0;
98803001;20171020;0,0;
98803001;20171021;0,2;
98803001;20171022;0,0;
98803001;20171023;2,6;
98803001;20171024;0,0;
98803001;20171025;4,5;
98803001;20171026;0,2;
98803001;20171027;0,0;
98803001;20171028;0,0;
98803001;20171029;0,2;
98803001;20171030;0,4;
98803001;20171031;0,2;
98803001;20171101;0,0;
98803001;20171102;19,9;
98803001;20171103;0,2;
98803001;20171104;0,0;
98803001;20171105;0,0;
98803001;20171106;0,0;
98803001;20171107;2,4;
98803001;20171108;17,0;
98803001;20171109;0,4;
98803001;20171110;0,4;
98803001;20171111;0,0;
98803001;20171112;0,0;
98803001;20171113;0,2;
98803001;20171114;0,0;
98803001;20171115;0,0;
98803001;20171116;0,0;
98803001;20171117;0,4;
98803001;20171118;0,0;
98803001;20171119;0,0;
98803001;20171120;0,0;
98803001;20171121;0,4;
98803001;20171122;0,0;
98803001;20171123;0,0;
98803001;20171124;0,0;
98803001;20171125;0,0;
98803001;20171126;0,0;
98803001;20171127;0,0;
98803001;20171128;0,0;
98803001;20171129;1,8;
98803001;20171130;0,0;
98803001;20171201;8,3;
98803001;20171202;54,0;
98803001;20171203;0,0;
98803001;20171204;0,0;
98803001;20171205;0,0;
98803001;20171206;0,0;
98803001;20171207;0,0;
98803001;20171208;6,9;
98803001;20171209;0,0;
98803001;20171210;0,0;
98803001;20171211;6,2;
98803001;20171212;57,8;
98803001;20171213;2,8;
98803001;20171214;16,4;
98803001;20171215;3,2;
98803001;20171216;1,2;
98803001;20171217;0,0;
98803001;20171218;0,6;
98803001;20171219;0,0;
98803001;20171220;0,0;
98803001;20171221;3,2;
98803001;20171222;0,2;
98803001;20171223;0,2;
98803001;20171224;0,2;
98803001;20171225;0,0;
98803001;20171226;0,0;
98803001;20171227;0,0;
98803001;20171228;0,2;
98803001;20171229;0,2;
98803001;20171230;0,2;
98803001;20171231;0,0;
98803001;20180101;0,0;
98803001;20180102;2,4;
98803001;20180103;15,6;
98803001;20180104;2,2;
98803001;20180105;0,0;
98803001;20180106;0,0;
98803001;20180107;0,0;
98803001;20180108;1,6;
98803001;20180109;0,0;
98803001;20180110;0,0;
98803001;20180111;0,0;
98803001;20180112;0,0;
98803001;20180113;0,0;
98803001;20180114;1,0;
98803001;20180115;2,4;
98803001;20180116;46,8;
98803001;20180117;16,2;
98803001;20180118;16,9;
98803001;20180119;0,2;
98803001;20180120;36,0;
98803001;20180121;0,6;
98803001;20180122;0,0;
98803001;20180123;0,2;
98803001;20180124;0,0;
98803001;20180125;0,0;
98803001;20180126;2,8;
98803001;20180127;0,2;
98803001;20180128;3,5;
98803001;20180129;47,5;
98803001;20180130;0,2;
98803001;20180131;0,0;
98803001;20180201;0,0;
98803001;20180202;0,6;
98803001;20180203;0,2;
98803001;20180204;0,2;
98803001;20180205;0,0;
98803001;20180206;0,2;
98803001;20180207;0,2;
98803001;20180208;6,2;
98803001;20180209;0,6;
98803001;20180210;6,1;
98803001;20180211;0,2;
98803001;20180212;0,0;
98803001;20180213;5,0;
98803001;20180214;15,7;
98803001;20180215;6,9;
98803001;20180216;23,4;
98803001;20180217;7,6;
98803001;20180218;0,2;
98803001;20180219;0,0;
98803001;20180220;24,5;
98803001;20180221;43,4;
98803001;20180222;20,3;
98803001;20180223;0,0;
98803001;20180224;0,2;
98803001;20180225;0,4;
98803001;20180226;9,9;
98803001;20180227;0,2;
98803001;20180228;0,4;
98803001;20180301;0,0;
98803001;20180302;0,0;
98803001;20180303;0,0;
98803001;20180304;0,0;
98803001;20180305;0,0;
98803001;20180306;1,6;
98803001;20180307;40,6;
98803001;20180308;3,4;
98803001;20180309;9,0;
98803001;20180310;1,0;
98803001;20180311;0,0;
98803001;20180312;4,0;
98803001;20180313;12,0;
98803001;20180314;1,0;
98803001;20180315;0,0;
98803001;20180316;0,2;
98803001;20180317;0,2;
98803001;20180318;0,0;
98803001;20180319;2,4;
98803001;20180320;0,6;
98803001;20180321;0,2;
98803001;20180322;26,3;
98803001;20180323;0,0;
98803001;20180324;0,4;
98803001;20180325;0,2;
98803001;20180326;1,6;
98803001;20180327;18,8;
98803001;20180328;129,9;
98803001;20180329;1,0;
98803001;20180330;0,0;
98803001;20180331;0,0;
98803001;20180401;0,6;
