Time, Lon, Lat, Depth
02:28:12.00,165.36666292766665,-21.60424630533333,1.42
02:28:13.00,165.36665366666668,-21.60425665233333,1.39
02:28:14.00,165.36664559133334,-21.60426710966667,1.35
02:28:15.00,165.36663924116667,-21.60427808950000,1.45
02:28:16.00,165.36663477050001,-21.60428996483333,1.44
02:28:17.00,165.36663220950001,-21.60430243650000,1.42
02:28:18.00,165.36663091033333,-21.60431442483333,1.37
02:28:19.00,165.36663054083334,-21.60432733333333,1.42
02:28:20.00,165.36663108750000,-21.60434041900000,1.39
02:28:21.00,165.36663217866666,-21.60435295733333,1.40
02:28:22.00,165.36663445483333,-21.60436504500000,1.39
02:28:23.00,165.36663751616666,-21.60437707250000,1.34
02:28:24.00,165.36664129483333,-21.60438883466667,1.34
02:28:25.00,165.36664530916667,-21.60440026883333,1.24
02:28:26.00,165.36665052399999,-21.60441090266667,1.46
02:28:27.00,165.36665513450001,-21.60442212683333,1.06
02:28:28.00,165.36666139616668,-21.60443317583333,1.10
02:28:29.00,165.36666901883333,-21.60444432416667,1.15
02:28:30.00,165.36667628699999,-21.60445599300000,1.25
02:28:31.00,165.36668299916667,-21.60446842500000,1.20
02:28:32.00,165.36668781649999,-21.60448134300000,1.31
02:28:33.00,165.36669235033332,-21.60449474850000,1.36
02:28:34.00,165.36669615349999,-21.60450891083334,1.23
02:28:35.00,165.36669966150001,-21.60452326733333,1.17
02:28:36.00,165.36670240866667,-21.60453798083334,1.18
02:28:37.00,165.36670491699999,-21.60455299016667,1.07
02:28:38.00,165.36670713016667,-21.60456816083333,1.04
02:28:39.00,165.36670851283333,-21.60458356550000,0.92
02:28:40.00,165.36670913166665,-21.60460009166666,0.84
02:28:41.00,165.36670842400000,-21.60461640133333,1.48
02:28:42.00,165.36670671683333,-21.60463118283333,1.39
02:28:43.00,165.36670493933335,-21.60464554600000,1.33
02:28:44.00,165.36670304649999,-21.60465964483333,1.12
02:28:45.00,165.36670158633333,-21.60467385000000,0.99
02:28:46.00,165.36670041933334,-21.60468821150000,0.92
02:28:47.00,165.36669905566666,-21.60470252900000,0.98
02:28:48.00,165.36669754566665,-21.60471679883333,0.90
02:28:49.00,165.36669599816668,-21.60473081950000,1.18
02:28:50.00,165.36669409850001,-21.60474451933333,1.34
02:28:51.00,165.36669229933332,-21.60475807550000,1.39
02:28:52.00,165.36669040300001,-21.60477158233333,1.42
02:28:53.00,165.36668883499999,-21.60478525266667,1.32
02:28:54.00,165.36668747416667,-21.60479901250000,1.35
02:28:55.00,165.36668591133332,-21.60481261800000,1.48
02:28:56.00,165.36668436833332,-21.60482575950000,1.48
02:28:57.00,165.36668337933332,-21.60483823950000,1.21
02:28:58.00,165.36668263416666,-21.60485009933333,0.90
02:28:59.00,165.36668126816667,-21.60486159483333,0.86
02:28:60.00,165.36668121516666,-21.60487263066667,0.84
02:29:1.00,165.36668071466667,-21.60488342366667,0.82
02:29:2.00,165.36668026266668,-21.60489408066667,1.45
02:29:3.00,165.36667936766668,-21.60490488166667,1.50
02:29:4.00,165.36667788966668,-21.60491572283333,1.50
02:29:5.00,165.36667602316666,-21.60492655283333,1.46
02:29:6.00,165.36667395783334,-21.60493738550000,1.41
02:29:7.00,165.36667159400000,-21.60494822133333,1.44
02:29:8.00,165.36666926199999,-21.60495894000000,1.23
02:29:9.00,165.36666756783333,-21.60496906583333,1.62
02:29:10.00,165.36666621233334,-21.60497905166667,1.62
02:29:11.00,165.36666506149999,-21.60498937600000,1.34
02:29:12.00,165.36666360166666,-21.60499997866667,1.12
02:29:13.00,165.36666189700000,-21.60501062033333,1.48
02:29:14.00,165.36666026800000,-21.60502167233333,1.58
02:29:15.00,165.36665896216667,-21.60503273833333,1.60
02:29:16.00,165.36665797816667,-21.60504347616667,0.82
02:29:17.00,165.36665651716666,-21.60505449100000,0.82
02:29:18.00,165.36665472866667,-21.60506594416667,0.82
02:29:19.00,165.36665238883333,-21.60507782566667,0.91
02:29:20.00,165.36664975633335,-21.60509015700000,0.84
02:29:21.00,165.36664686883333,-21.60510276133333,0.83
02:29:22.00,165.36664396733335,-21.60511577266667,0.86
02:29:23.00,165.36664077850000,-21.60512900900000,0.85
02:29:24.00,165.36663785400000,-21.60514247983333,0.88
02:29:25.00,165.36663508883333,-21.60515589716667,0.91
02:29:26.00,165.36663293816667,-21.60516969816667,0.82
02:29:27.00,165.36663042350000,-21.60518361200000,0.95
02:29:28.00,165.36662839833335,-21.60519744216667,0.89
02:29:29.00,165.36662492683334,-21.60521054900000,0.84
02:29:30.00,165.36662172999999,-21.60522286866667,0.84
02:29:31.00,165.36661875799999,-21.60523507516667,0.86
02:29:32.00,165.36661586383335,-21.60524695833333,0.91
02:29:33.00,165.36661344866667,-21.60525865083333,0.88
02:29:34.00,165.36661094883334,-21.60526952350000,0.88
02:29:35.00,165.36660853800001,-21.60528027600000,0.87
02:29:36.00,165.36660696133333,-21.60529059050000,0.90
02:29:37.00,165.36660559916666,-21.60530128450000,0.96
02:29:38.00,165.36660445499999,-21.60531252050000,1.00
02:29:39.00,165.36660355316667,-21.60532390100000,1.20
02:29:40.00,165.36660275250000,-21.60533545450000,1.47
02:29:41.00,165.36660189700001,-21.60534721466666,1.62
02:29:42.00,165.36660105983333,-21.60535919266667,1.54
02:29:43.00,165.36660002150001,-21.60537106083333,1.43
02:29:44.00,165.36659923616668,-21.60538265800000,1.57
02:29:45.00,165.36659847833334,-21.60539450966667,1.77
02:29:46.00,165.36659832149999,-21.60540622350000,1.83
