Time, Lon, Lat, Depth
00:18:15.99999999,165.34163644466668,-21.600624117833334,2.545
00:18:17.00,165.34162217933334,-21.600629984,2.55
00:18:18.00,165.34160663766667,-21.600637650833335,2.545
00:18:19.00,165.341590294,-21.6006453345,2.57333333333
00:18:20.00070999,165.341575351,-21.60065360933333,2.635
00:18:21.00,165.34156107966666,-21.600662285,2.48
00:18:22.00,165.34154741733335,-21.600671217666665,2.57
00:18:22.00070998,165.3415467575,-21.60067164333333,2.57
00:18:23.00070999,165.3415342265,-21.600679255,2.52
00:18:24.00,165.34152211733334,-21.600687001833332,2.64
00:18:25.00,165.34150936633333,-21.600693936333332,2.55666666667
00:18:26.00,165.34149674116668,-21.600701259333334,2.63
00:18:27.00,165.341483904,-21.60070812,2.50333333333
00:18:28.00071000,165.34147087383334,-21.600714027,2.55
00:18:29.00,165.34145797266666,-21.600720007,2.43666666667
00:18:30.00,165.34144422933332,-21.600727639166667,2.49
00:18:31.00,165.341428829,-21.600734091833335,2.45
00:18:32.00071000,165.341414681,-21.600740138,2.51
00:18:33.00,165.34140223616666,-21.600747021166665,2.48
00:18:33.00070998,165.34140158416668,-21.600747318333333,2.45
00:18:33.99999999,165.34138972366668,-21.60075418,2.495
00:18:35.00070998,165.341377522,-21.600762085833335,2.5
00:18:36.00,165.34136454783334,-21.600769907,2.58
00:18:37.00,165.3413540155,-21.600780108333332,2.44333333333
00:18:38.00,165.34134111866666,-21.600789233666667,2.48
00:18:39.00071000,165.34133050983334,-21.600799097666666,2.43
00:18:40.00,165.34131891683333,-21.60080833783333,2.535
00:18:41.00071000,165.3413083305,-21.600819124166666,2.49
00:18:42.00,165.34129751566667,-21.600829796166668,2.51
00:18:42.00070998,165.341297055,-21.600830356,2.49
00:18:43.00071000,165.34128749,-21.6008410215,2.515
00:18:44.00,165.34127691116666,-21.6008528965,2.52
00:18:44.00070998,165.3412763505,-21.600853485000002,2.43
00:18:45.00,165.34126610716666,-21.600864949166667,2.5
00:18:46.00070999,165.3412537125,-21.600875545666668,2.46
00:18:47.00,165.34123983233334,-21.600885803666667,2.50666666667
00:18:48.00070998,165.341225345,-21.600893957,2.465
00:18:48.99999999,165.34121100283335,-21.600900225166665,2.5
00:18:50.00,165.34119630316667,-21.600906161333334,2.42
00:18:51.00,165.34118060366666,-21.600911037,2.52333333333
00:18:52.00071000,165.34116462533333,-21.600916479333332,2.385
00:18:53.00,165.34114847366666,-21.600922477333334,2.49
00:18:53.00070998,165.34114765283334,-21.600922767333333,2.52
00:18:54.00,165.341131064,-21.6009286965,2.3
00:18:55.00070999,165.3411138665,-21.600935864166665,2.34
00:18:56.00000000,165.34109629766667,-21.6009415345,2.34
00:18:56.99999999,165.34107825333334,-21.600948123333332,2.4
00:18:58.00000000,165.3410600735,-21.600953733833332,2.49
00:18:59.00,165.34104180766667,-21.6009579215,2.37
00:18:60.00000000,165.34102381816666,-21.600962164166667,2.40333333333
00:19:01.00070999,165.34100516416666,-21.600966679833334,2.6
00:19:02.00,165.3409852535,-21.600971978,2.51
00:19:02.00070999,165.34098429816666,-21.600972265,2.46
00:19:03.00,165.34096525283334,-21.600977884833334,2.42
00:19:04.00,165.34094432266667,-21.60098107683333,2.43
00:19:04.00070999,165.340943256,-21.600981216833333,2.21
00:19:05.00070998,165.340923689,-21.600981774,2.21
00:19:06.00,165.3409055935,-21.6009805605,2.565
00:19:06.99969998,165.34088809333332,-21.600979037666665,2.73
00:19:08.00,165.34086957416667,-21.600975217833334,2.55
00:19:08.99999998,165.340850487,-21.600973876833333,2.615
00:19:10.00070999,165.34083307433335,-21.600971832833334,2.585
00:19:11.00,165.34081599883334,-21.600970202166668,2.66
00:19:12.00070999,165.34079825183332,-21.600967865666668,2.67
00:19:13.00,165.34077999666667,-21.6009664795,2.67
00:19:13.00070999,165.34077912366666,-21.600966371166667,2.72
00:19:14.00,165.34076273566666,-21.600965001333332,2.745
00:19:15.00,165.34074460816666,-21.600962456666668,2.68
00:19:15.99999999,165.34072506783335,-21.600960364166667,2.685
00:19:17.00,165.34070658366667,-21.600958288166666,2.625
00:19:17.99999999,165.340689097,-21.600955095,2.78
00:19:19.00,165.34067002166665,-21.600952760333332,2.55
00:19:20.00,165.34065063683335,-21.6009499055,2.34
00:19:21.00071000,165.34063215383333,-21.600948105,2.695
00:19:22.00070999,165.34061399966666,-21.6009451405,2.595
00:19:23.00071000,165.34059488866666,-21.600942508833334,2.55
00:19:24.00,165.34057605416666,-21.600939536,2.59
00:19:25.00,165.34055813583333,-21.600936511833332,2.53666666667
00:19:26.00,165.34053987416667,-21.600934326,2.49
00:19:26.00070998,165.3405389025,-21.600934187166665,2.93
00:19:27.00,165.34052056833335,-21.600930874,2.82
00:19:28.00070999,165.34050166416668,-21.600928179666667,2.855
00:19:29.00000000,165.34048385033333,-21.600925128166665,2.695
00:19:30.00,165.3404644545,-21.600922216833332,2.8
00:19:31.00,165.34044435883334,-21.600919211333334,2.65
00:19:32.00,165.34042458866668,-21.600917202333335,2.63
00:19:33.00,165.34040495783333,-21.600915239666666,2.425
00:19:33.00070999,165.34040395033333,-21.600915117,2.33
00:19:33.99999999,165.34038413533332,-21.600913015666666,2.64
00:19:35.00000000,165.34036309383333,-21.600909645833333,2.71
00:19:36.00,165.34034293016666,-21.600907080666666,2.595
00:19:37.00,165.34032338783334,-21.6009054005,2.59
00:19:37.99999999,165.3403023395,-21.600902616,2.44
00:19:39.00,165.340280613,-21.600900583666668,2.34
00:19:40.00,165.34026034633334,-21.600900284166666,2.235
00:19:41.00,165.34023965416668,-21.600899485666666,2.09
00:19:41.99999999,165.34021698883333,-21.6008987875,2.46
00:19:43.00070998,165.340195432,-21.600897838833333,2.475
00:19:44.00,165.340174735,-21.600897229333334,2.22
00:19:44.00070998,165.34017363533334,-21.600897225,2.19
00:19:45.00070998,165.34015250783332,-21.600896721166666,2.335
00:19:46.00,165.34012997216666,-21.600896426333332,2.52
00:19:46.00070998,165.34012884266667,-21.6008964345,2.52
00:19:46.99999998,165.34010817383333,-21.600895797666666,2.635
00:19:48.00070999,165.34008606766668,-21.600895784,2.8
00:19:48.99999998,165.3400641705,-21.600894705,2.925
00:19:50.00070999,165.3400420445,-21.600892893833333,2.92
00:19:50.99999999,165.34001956033333,-21.600890514,2.905
00:19:52.00000000,165.33999791133334,-21.600888613,2.9
00:19:52.99999999,165.33997686533334,-21.600885117666667,2.94
00:19:54.00071000,165.33995399233334,-21.600881384333334,2.71333333333
00:19:55.00,165.33993178066666,-21.600878522166667,2.49
00:19:55.00070998,165.33993070833333,-21.600878366666667,2.52
00:19:56.00071000,165.339911293,-21.600874924833334,2.32
00:19:57.00,165.33989040916666,-21.600870913166666,2.52
00:19:58.00,165.33986904616665,-21.600866236333335,2.53
00:19:59.00,165.33984830833333,-21.600862412166666,2.395
00:19:59.99969999,165.3398289515,-21.600857549333334,2.385
00:20:00.99999999,165.3398072855,-21.600853359,2.31
00:20:02.00000000,165.33978557133332,-21.600848885666668,2.095
00:20:03.00,165.33976505916667,-21.6008429355,2.1
00:20:04.00,165.339743615,-21.600836575,2.4
00:20:04.00070997,165.33974259116667,-21.600836217,2.4
00:20:05.00,165.33972334866667,-21.600829831166667,2.505
00:20:06.00,165.33970472,-21.600822723,2.49
00:20:07.00070999,165.33968717283332,-21.60081554916667,2.345
00:20:08.00,165.33966958216666,-21.600807667833333,2.59
00:20:09.00,165.33965075433332,-21.600799501,2.55
00:20:10.00070999,165.33963293683334,-21.600790500333332,2.07333333333
00:20:11.00000000,165.33961560716668,-21.6007824505,1.91
